url,price,title
https://www.olx.in/item/good-condition-nice-sound-2-2channel-ID1fqfuH.html,2500,"Good condition,nice sound,2.2channel"
https://www.olx.in/item/gray-philips-crt-television-and-woden-troli-ID1fqeuX.html,5000,Gray Philips CRT Television and woden troli
https://www.olx.in/item/usb-88659179-93-ID1fqewj.html,600,USB 88659179.93
https://www.olx.in/item/soy-home-theater-ID1fqewz.html,15000,Soñy home theater
https://www.olx.in/item/set-of-2-subwoofers-one-is-unused-and-other-ID1eXYad.html,3000,Set of 2 subwoofers...one is unused and other
https://www.olx.in/item/bluetooth-bass-speaker-ID1fqevw.html,16000,Bluetooth bass speaker...
https://www.olx.in/item/quality-is-big-digital-sound-dish-ID1fqeth.html,1850,"Quality is big, digital sound,Dish"
https://www.olx.in/item/sansui-flate-tv-good-condition-ok-h-ID1fqex3.html,2700,Sansui flate tv good condition ok h
https://www.olx.in/item/40-inch-sony-led-series-6-box-packed-with-warranty-ID1e6t0B.html,15999,40 Inch Sony LED Series 6 Box packed with warranty
https://www.olx.in/item/samsung-led-26inch-1-yr-old-ok-condition-ID1fqexR.html,9500,"Samsung led ,26inch 1 yr.old ok condition."
https://www.olx.in/item/led-tv-good-working-condition-urgent-sell-many-ID1fqeyw.html,4680,LED TV good working condition urgent sell many
https://www.olx.in/item/32-inches-daytek-lcd-tv-superb-condition-fully-ID1fqevZ.html,8500,32 inches DAYTEK LCD TV Superb Condition Fully
https://www.olx.in/item/sony-ps3-with-1-tb-hdd-52-games-ID1fqexh.html,14500,Sony ps3 with 1 tb hdd 52 games
https://www.olx.in/item/crt-television-ID1fqexW.html,2000,CRT Television
https://www.olx.in/item/speaker-for-sale-ID1fqeiP.html,800,Speaker for sale
https://www.olx.in/item/flat-screen-crt-tv-good-working-ID1fqeA3.html,4000,Flat screen crt tv good working
https://www.olx.in/item/samsung-and-sony-led-tv-ID1fgR81.html,9999,Samsung and Sony LED TV
https://www.olx.in/item/sony-led-t-v-32-inch-imported-ID1fqe73.html,12200,Sony Led T.v 32 inch imported
https://www.olx.in/item/bingou8-smart-watch-ID1bulQP.html,400,BingoU8 smart watch
https://www.olx.in/item/sony-2000-w-speaket-set-ID1fqeGr.html,1500,Sony 2000 W.speaket set
https://www.olx.in/item/bluetooth-speaker-charge-2-1100-ID1fqeF1.html,1100,Bluetooth Speaker Charge 2+ 1100/-
https://www.olx.in/item/silver-crt-tv-ID1dYZp5.html,3003,Silver CRT TV
https://www.olx.in/item/aiwa-digital-tunar-japan-ID1eHIhn.html,2250,Aiwa digital tunar Japan
https://www.olx.in/item/two-black-subwoofers-ID1fqf9r.html,5000,Two Black Subwoofers
https://www.olx.in/item/tata-indica-car-back-speaker-plywood-ID1eQpon.html,250,Tata indica car back speaker plywood
https://www.olx.in/item/redmi-note-4-back-cover-ID1fqeJ5.html,50,Redmi note 4 back cover
https://www.olx.in/item/two-black-intex-speakers-ID1fqdS7.html,4000,Two Black Intex Speakers
https://www.olx.in/item/32-inch-sony-led-tv-series-4003-box-full-hd-with-warranty-ID1ddvAL.html,9499,32 inch Sony LED TV Series 4003 Box full hd with warranty
https://www.olx.in/item/sonilex-mp3-player-ID1fqdUx.html,250,Sonilex mp3 player
https://www.olx.in/item/black-iball-speaker-ID1fqe13.html,1200,Black IBall Speaker
https://www.olx.in/item/black-and-gray-wireles-headphones-screenshot-ID1fqe0R.html,1800,Black And Gray Wireles Headphones Screenshot
https://www.olx.in/item/black-1-din-head-unit-ID1fqdXn.html,7800,Black 1-DIN Head Unit
https://www.olx.in/item/brown-wooden-tv-hutch-unit-ID1fqe11.html,12000,Brown Wooden TV Hutch unit
https://www.olx.in/item/32-inc-panasonic-tv-display-broken-ID1fqdYP.html,4000,32 Inc Panasonic TV display broken
https://www.olx.in/item/32-inch-videocon-4-year-but-good-quality-ID1dGEyJ.html,11000,32 inch videocon 4 year but good quality
https://www.olx.in/item/motorola-pulse-2-ID1fqe8H.html,1300,Motorola Pulse 2
https://www.olx.in/item/stereo-amplifier-pioneer-a757-ID1fqe8N.html,28000,Stereo amplifier - pioneer a757
https://www.olx.in/item/intex-multimedia-speaker-box-ID1fqe6J.html,3500,Intex Multimedia Speaker Box
https://www.olx.in/item/gray-crt-tv-ID1fqe8Z.html,2500,Gray CRT TV
https://www.olx.in/item/den-setop-box-good-working-ID1fqedp.html,800,Den setop box good working
https://www.olx.in/item/aiwa-nsx-vc28-hi-fi-not-working-ID1fqdPR.html,2300,Aiwa NSX-VC28 Hi-fi- Not Working
https://www.olx.in/item/denon-4500-along-with-dynatech-ddj3-mixer-ID1fqect.html,26000,Denon 4500 along with dynatech ddj3 mixer &
https://www.olx.in/item/green-and-white-led-bar-ID1fqecx.html,500,Green And White LED Bar
https://www.olx.in/item/black-flat-screen-tv-ID1fqdVH.html,11000,Black Flat Screen TV
https://www.olx.in/item/sealed-all-brand-leds-from-32-higher-sizes-what-ID1fqehb.html,30000,"Sealed All brand Led's from 32"" - higher sizes. what"
https://www.olx.in/item/black-lg-flat-screen-tv-ID1fqefx.html,15000,Black LG Flat Screen TV
https://www.olx.in/item/black-crt-tv-ID1fqedw.html,6000,Black CRT TV
https://www.olx.in/item/samsung-29-gray-crt-television-with-remote-ID1fqegl.html,7000,SAMSUNG 29'' Gray CRT Television With Remote
https://www.olx.in/item/intex-32inch-tv-can-be-used-as-monitor-purchased-sep17-ID1fqee3.html,15500,Intex 32inch TV can be used as monitor purchased sep17
https://www.olx.in/item/samsung-32-inch-led-smart-tv-ID1fqelN.html,12500,Samsung 32 inch led smart tv
https://www.olx.in/item/three-dvd-changer-shelf-stereo-with-fivw-speakers-ID1fg0iZ.html,7000,Three dvd changer Shelf Stereo with fivw Speakers
https://www.olx.in/item/samsung-flate-tv-with-woofar-ID1fqdqb.html,5000,Samsung flate tv with woofar
https://www.olx.in/item/in-good-condition-but-only-problem-in-its-sound-ID1fqdp9.html,3000,In good condition but only problem in it's sound
https://www.olx.in/item/sony-32-inch-smart-android-led-tv-boxes-ID1bRTlw.html,12300,Sony 32 inch smart android Led TV Boxes
https://www.olx.in/item/samsung-powebank-with-cable-jst-at-1100rs-ID1fqdrZ.html,1100,Samsung powebank with cable jst at 1100rs.
https://www.olx.in/item/black-multimedia-speaker-ID1fqdtf.html,1550,Black Multimedia Speaker
https://www.olx.in/item/good-condition-lg-flatron-21-inch-ID1fqdrT.html,3000,Good condition LG flatron 21 inch
https://www.olx.in/item/32-inch-sony-wall-mounted-smart-tv-ID1da5DH.html,12300,32 inch Sony Wall Mounted Smart TV
https://www.olx.in/item/5-years-old-lg-tv-23inch-display-in-a-good-ID1fqdnP.html,6500,5 years old LG TV 23inch display in a good
https://www.olx.in/item/never-used-original-price-is-600-ID1fqdth.html,450,Never used original price is -600₹
https://www.olx.in/item/beats-pill-red-ID1brLtl.html,13500,Beats Pill Red
https://www.olx.in/item/amazingly-sounding-f-d-speakers-with-woofer-in-ID1fqdyl.html,1400,Amazingly sounding F & D speakers with woofer in
https://www.olx.in/item/jbl-brand-headphone-ID1fqdxx.html,299,Jbl brand headphone
https://www.olx.in/item/black-sony-multimedia-speaker-ID1fqdAt.html,2500,Black Sony Multimedia Speaker
https://www.olx.in/item/sony-colour-tv-ID1fqdBf.html,5500,Sony colour tv
https://www.olx.in/item/sony-music-system-including-speaker-ID1fqdC5.html,10000,Sony music system including speaker
https://www.olx.in/item/40-inch-sony-smart-tv-box-ID1eOmlB.html,18999,40 inch Sony Smart TV Box
https://www.olx.in/item/philips-flat-screen-tv-or-sale-with-tv-stand-ID1fqdBR.html,6000,Philips flat screen tv or sale with tv stand
https://www.olx.in/item/good-condition-tv-sunsui-ID1f18Ml.html,4499,Good condition tv sunsui
https://www.olx.in/item/gray-and-black-crt-tv-ID1fqdEw.html,3000,Gray And Black CRT TV
https://www.olx.in/item/diaba-scan-pro-monitoring-system-box-ID1fqdAW.html,700,Diaba Scan Pro Monitoring System Box
https://www.olx.in/item/branded-17-lcd-good-condition-and-fixx-price-ID1fqdDR.html,2500,"Branded 17"" LCD good condition and fixx price"
https://www.olx.in/item/black-samsung-stereo-headset-with-box-ID1fqdFb.html,400,Black Samsung Stereo Headset With Box
